Using device: cuda:0
Learning rate: 5e-05
Epoch 1, Training Loss: 2.254, Validation Loss: 2.116
Epoch 2, Training Loss: 1.596, Validation Loss: 1.008
Epoch 3, Training Loss: 0.745, Validation Loss: 0.602
Epoch 4, Training Loss: 0.526, Validation Loss: 0.495
Epoch 5, Training Loss: 0.441, Validation Loss: 0.436
Epoch 6, Training Loss: 0.391, Validation Loss: 0.395
Epoch 7, Training Loss: 0.361, Validation Loss: 0.366
Epoch 8, Training Loss: 0.337, Validation Loss: 0.346
Epoch 9, Training Loss: 0.317, Validation Loss: 0.327
Epoch 10, Training Loss: 0.298, Validation Loss: 0.308
Epoch 11, Training Loss: 0.284, Validation Loss: 0.299
Epoch 12, Training Loss: 0.271, Validation Loss: 0.285
Epoch 13, Training Loss: 0.261, Validation Loss: 0.267
Epoch 14, Training Loss: 0.249, Validation Loss: 0.263
Epoch 15, Training Loss: 0.240, Validation Loss: 0.250
Epoch 16, Training Loss: 0.230, Validation Loss: 0.243
Epoch 17, Training Loss: 0.220, Validation Loss: 0.237
Epoch 18, Training Loss: 0.211, Validation Loss: 0.221
Epoch 19, Training Loss: 0.206, Validation Loss: 0.213
Epoch 20, Training Loss: 0.198, Validation Loss: 0.214
Epoch 21, Training Loss: 0.191, Validation Loss: 0.207
Epoch 22, Training Loss: 0.184, Validation Loss: 0.199
Epoch 23, Training Loss: 0.179, Validation Loss: 0.189
Epoch 24, Training Loss: 0.173, Validation Loss: 0.183
Epoch 25, Training Loss: 0.166, Validation Loss: 0.175
Epoch 26, Training Loss: 0.160, Validation Loss: 0.182
Epoch 27, Training Loss: 0.156, Validation Loss: 0.166
Epoch 28, Training Loss: 0.151, Validation Loss: 0.164
Epoch 29, Training Loss: 0.146, Validation Loss: 0.162
Epoch 30, Training Loss: 0.144, Validation Loss: 0.157
Epoch 31, Training Loss: 0.139, Validation Loss: 0.150
Epoch 32, Training Loss: 0.135, Validation Loss: 0.146
Epoch 33, Training Loss: 0.130, Validation Loss: 0.140
Epoch 34, Training Loss: 0.127, Validation Loss: 0.146
Epoch 35, Training Loss: 0.126, Validation Loss: 0.139
Epoch 36, Training Loss: 0.120, Validation Loss: 0.131
Epoch 37, Training Loss: 0.116, Validation Loss: 0.128
Epoch 38, Training Loss: 0.113, Validation Loss: 0.128
Epoch 39, Training Loss: 0.109, Validation Loss: 0.123
Epoch 40, Training Loss: 0.108, Validation Loss: 0.120
Epoch 41, Training Loss: 0.104, Validation Loss: 0.120
Epoch 42, Training Loss: 0.102, Validation Loss: 0.114
Epoch 43, Training Loss: 0.100, Validation Loss: 0.115
Epoch 44, Training Loss: 0.097, Validation Loss: 0.110
Epoch 45, Training Loss: 0.094, Validation Loss: 0.117
Epoch 46, Training Loss: 0.093, Validation Loss: 0.110
Epoch 47, Training Loss: 0.091, Validation Loss: 0.106
Epoch 48, Training Loss: 0.087, Validation Loss: 0.104
Epoch 49, Training Loss: 0.086, Validation Loss: 0.103
Epoch 50, Training Loss: 0.083, Validation Loss: 0.098
Epoch 51, Training Loss: 0.081, Validation Loss: 0.102
Epoch 52, Training Loss: 0.080, Validation Loss: 0.097
Epoch 53, Training Loss: 0.077, Validation Loss: 0.092
Epoch 54, Training Loss: 0.076, Validation Loss: 0.093
Epoch 55, Training Loss: 0.074, Validation Loss: 0.092
Epoch 56, Training Loss: 0.071, Validation Loss: 0.092
Epoch 57, Training Loss: 0.070, Validation Loss: 0.088
Epoch 58, Training Loss: 0.068, Validation Loss: 0.092
Epoch 59, Training Loss: 0.068, Validation Loss: 0.089
Epoch 60, Training Loss: 0.065, Validation Loss: 0.087
Epoch 61, Training Loss: 0.063, Validation Loss: 0.087
Epoch 62, Training Loss: 0.062, Validation Loss: 0.085
Epoch 63, Training Loss: 0.061, Validation Loss: 0.082
Epoch 64, Training Loss: 0.060, Validation Loss: 0.081
Epoch 65, Training Loss: 0.058, Validation Loss: 0.081
Epoch 66, Training Loss: 0.056, Validation Loss: 0.079
Epoch 67, Training Loss: 0.056, Validation Loss: 0.079
Epoch 68, Training Loss: 0.053, Validation Loss: 0.077
Epoch 69, Training Loss: 0.053, Validation Loss: 0.076
Epoch 70, Training Loss: 0.052, Validation Loss: 0.079
Epoch 71, Training Loss: 0.051, Validation Loss: 0.075
Epoch 72, Training Loss: 0.050, Validation Loss: 0.079
Epoch 73, Training Loss: 0.049, Validation Loss: 0.076
Epoch 74, Training Loss: 0.047, Validation Loss: 0.077
Epoch 75, Training Loss: 0.047, Validation Loss: 0.077
Epoch 76, Training Loss: 0.046, Validation Loss: 0.075
Epoch 77, Training Loss: 0.044, Validation Loss: 0.074
Epoch 78, Training Loss: 0.044, Validation Loss: 0.070
Epoch 79, Training Loss: 0.042, Validation Loss: 0.068
Epoch 80, Training Loss: 0.042, Validation Loss: 0.078
Epoch 81, Training Loss: 0.041, Validation Loss: 0.074
Epoch 82, Training Loss: 0.041, Validation Loss: 0.070
Epoch 83, Training Loss: 0.040, Validation Loss: 0.071
