Using device: cuda:0
Learning rate: 5e-05
Epoch 1, Training Loss: 55.715, Validation Loss: 20.418
Epoch 2, Training Loss: 11.926, Validation Loss: 10.439
Epoch 3, Training Loss: 7.897, Validation Loss: 9.976
Epoch 4, Training Loss: 5.958, Validation Loss: 7.181
Epoch 5, Training Loss: 4.831, Validation Loss: 6.691
Epoch 6, Training Loss: 3.436, Validation Loss: 5.227
Epoch 7, Training Loss: 2.866, Validation Loss: 4.677
Epoch 8, Training Loss: 2.925, Validation Loss: 5.478
Epoch 9, Training Loss: 1.719, Validation Loss: 4.015
Epoch 10, Training Loss: 1.685, Validation Loss: 4.840
Epoch 11, Training Loss: 1.546, Validation Loss: 4.593
Epoch 12, Training Loss: 1.250, Validation Loss: 4.597
Epoch 13, Training Loss: 1.395, Validation Loss: 3.721
Epoch 14, Training Loss: 1.403, Validation Loss: 4.415
Epoch 15, Training Loss: 1.095, Validation Loss: 3.820
Epoch 16, Training Loss: 0.889, Validation Loss: 4.382
Epoch 17, Training Loss: 0.796, Validation Loss: 3.519
Epoch 18, Training Loss: 0.826, Validation Loss: 4.527
Epoch 19, Training Loss: 0.750, Validation Loss: 4.320
Epoch 20, Training Loss: 0.632, Validation Loss: 3.346
Epoch 21, Training Loss: 0.581, Validation Loss: 4.067
Epoch 22, Training Loss: 0.532, Validation Loss: 3.924
Epoch 23, Training Loss: 0.485, Validation Loss: 3.405
Epoch 24, Training Loss: 0.495, Validation Loss: 3.926
Epoch 25, Training Loss: 0.652, Validation Loss: 3.215
Epoch 26, Training Loss: 0.302, Validation Loss: 3.634
Epoch 27, Training Loss: 0.339, Validation Loss: 3.854
Epoch 28, Training Loss: 0.424, Validation Loss: 3.299
Epoch 29, Training Loss: 0.351, Validation Loss: 3.778
Epoch 30, Training Loss: 0.599, Validation Loss: 4.811
Epoch 31, Training Loss: 0.333, Validation Loss: 4.260
Epoch 32, Training Loss: 0.334, Validation Loss: 4.300
Epoch 33, Training Loss: 0.507, Validation Loss: 3.398
Epoch 34, Training Loss: 0.417, Validation Loss: 3.106
Epoch 35, Training Loss: 0.239, Validation Loss: 2.970
Epoch 36, Training Loss: 0.479, Validation Loss: 2.759
Epoch 37, Training Loss: 0.215, Validation Loss: 3.241
Epoch 38, Training Loss: 0.172, Validation Loss: 3.129
Epoch 39, Training Loss: 0.479, Validation Loss: 4.181
Epoch 40, Training Loss: 0.420, Validation Loss: 2.893
Epoch 41, Training Loss: 0.266, Validation Loss: 2.843
Epoch 42, Training Loss: 0.250, Validation Loss: 3.757
Epoch 43, Training Loss: 0.136, Validation Loss: 3.260
Epoch 44, Training Loss: 0.128, Validation Loss: 3.137
Epoch 45, Training Loss: 0.244, Validation Loss: 3.133
Epoch 46, Training Loss: 0.275, Validation Loss: 3.665
Epoch 47, Training Loss: 0.160, Validation Loss: 2.466
Epoch 48, Training Loss: 0.204, Validation Loss: 2.579
Epoch 49, Training Loss: 0.178, Validation Loss: 3.066
Epoch 50, Training Loss: 0.119, Validation Loss: 3.357
Finished training
Accuracy of the network on 2000 test images: 96.45%
