Using device: cuda:0
Learning rate: 1e-05
Epoch 1, Training Loss: 1.897, Validation Loss: 1.477
Epoch 2, Training Loss: 1.150, Validation Loss: 0.886
Epoch 3, Training Loss: 0.723, Validation Loss: 0.602
Epoch 4, Training Loss: 0.514, Validation Loss: 0.455
Epoch 5, Training Loss: 0.396, Validation Loss: 0.365
Epoch 6, Training Loss: 0.323, Validation Loss: 0.306
Epoch 7, Training Loss: 0.273, Validation Loss: 0.266
Epoch 8, Training Loss: 0.238, Validation Loss: 0.234
Epoch 9, Training Loss: 0.211, Validation Loss: 0.210
Epoch 10, Training Loss: 0.187, Validation Loss: 0.191
Epoch 11, Training Loss: 0.170, Validation Loss: 0.176
Epoch 12, Training Loss: 0.155, Validation Loss: 0.164
Epoch 13, Training Loss: 0.143, Validation Loss: 0.152
Epoch 14, Training Loss: 0.133, Validation Loss: 0.144
Epoch 15, Training Loss: 0.123, Validation Loss: 0.136
Epoch 16, Training Loss: 0.116, Validation Loss: 0.129
Epoch 17, Training Loss: 0.107, Validation Loss: 0.122
Epoch 18, Training Loss: 0.101, Validation Loss: 0.116
Epoch 19, Training Loss: 0.096, Validation Loss: 0.111
Epoch 20, Training Loss: 0.090, Validation Loss: 0.109
Epoch 21, Training Loss: 0.086, Validation Loss: 0.103
Epoch 22, Training Loss: 0.081, Validation Loss: 0.101
Epoch 23, Training Loss: 0.077, Validation Loss: 0.097
Epoch 24, Training Loss: 0.073, Validation Loss: 0.094
Epoch 25, Training Loss: 0.070, Validation Loss: 0.091
Epoch 26, Training Loss: 0.067, Validation Loss: 0.090
Epoch 27, Training Loss: 0.064, Validation Loss: 0.087
Epoch 28, Training Loss: 0.061, Validation Loss: 0.085
Epoch 29, Training Loss: 0.058, Validation Loss: 0.083
Epoch 30, Training Loss: 0.056, Validation Loss: 0.080
Epoch 31, Training Loss: 0.054, Validation Loss: 0.079
Epoch 32, Training Loss: 0.051, Validation Loss: 0.078
Epoch 33, Training Loss: 0.049, Validation Loss: 0.075
Epoch 34, Training Loss: 0.046, Validation Loss: 0.075
Epoch 35, Training Loss: 0.046, Validation Loss: 0.073
Epoch 36, Training Loss: 0.043, Validation Loss: 0.072
Epoch 37, Training Loss: 0.041, Validation Loss: 0.070
Epoch 38, Training Loss: 0.039, Validation Loss: 0.070
Epoch 39, Training Loss: 0.038, Validation Loss: 0.069
Epoch 40, Training Loss: 0.037, Validation Loss: 0.068
Epoch 41, Training Loss: 0.034, Validation Loss: 0.067
Epoch 42, Training Loss: 0.033, Validation Loss: 0.066
Epoch 43, Training Loss: 0.033, Validation Loss: 0.065
Epoch 44, Training Loss: 0.030, Validation Loss: 0.064
Epoch 45, Training Loss: 0.029, Validation Loss: 0.063
Epoch 46, Training Loss: 0.028, Validation Loss: 0.064
Epoch 47, Training Loss: 0.027, Validation Loss: 0.064
Epoch 48, Training Loss: 0.026, Validation Loss: 0.062
Epoch 49, Training Loss: 0.025, Validation Loss: 0.063
Epoch 50, Training Loss: 0.023, Validation Loss: 0.062
Finished training
Accuracy of the network on 2000 test images: 98.60%
