Using device: cuda:0
Learning rate: 0.005
Epoch 1, Training Loss: 237.873, Validation Loss: 102.232
Epoch 2, Training Loss: 74.352, Validation Loss: 54.513
Epoch 3, Training Loss: 41.451, Validation Loss: 30.629
Epoch 4, Training Loss: 22.997, Validation Loss: 16.217
Epoch 5, Training Loss: 12.487, Validation Loss: 8.988
Epoch 6, Training Loss: 6.949, Validation Loss: 5.393
Epoch 7, Training Loss: 4.202, Validation Loss: 2.829
Epoch 8, Training Loss: 2.136, Validation Loss: 1.954
Epoch 9, Training Loss: 2.037, Validation Loss: 1.998
Epoch 10, Training Loss: 1.965, Validation Loss: 1.934
Epoch 11, Training Loss: 1.927, Validation Loss: 1.966
Epoch 12, Training Loss: 1.892, Validation Loss: 1.927
Epoch 13, Training Loss: 1.861, Validation Loss: 1.996
Epoch 14, Training Loss: 1.866, Validation Loss: 1.873
Epoch 15, Training Loss: 1.844, Validation Loss: 1.817
Epoch 16, Training Loss: 1.808, Validation Loss: 1.870
Epoch 17, Training Loss: 1.778, Validation Loss: 1.717
Epoch 18, Training Loss: 1.763, Validation Loss: 1.834
Epoch 19, Training Loss: 1.762, Validation Loss: 1.655
Epoch 20, Training Loss: 1.746, Validation Loss: 1.909
Epoch 21, Training Loss: 1.734, Validation Loss: 1.739
Epoch 22, Training Loss: 1.742, Validation Loss: 1.689
Epoch 23, Training Loss: 1.719, Validation Loss: 1.678
Epoch 24, Training Loss: 1.709, Validation Loss: 1.634
Epoch 25, Training Loss: 1.650, Validation Loss: 1.683
Epoch 26, Training Loss: 1.673, Validation Loss: 2.027
Epoch 27, Training Loss: 1.677, Validation Loss: 1.735
Epoch 28, Training Loss: 1.682, Validation Loss: 1.544
Epoch 29, Training Loss: 1.641, Validation Loss: 1.646
Epoch 30, Training Loss: 1.613, Validation Loss: 1.766
Finished training
Accuracy of the network on 2000 test images: 45.15%
